epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5642,1.24994,2.71558,1.75788,0.4434,0.46654,0.42065,0.26519,1.31043,2.09688,1.69925,0.000474021,0.000474021,0.000474021
2,104.343,1.27715,2.12863,1.80544,0.33487,0.35613,0.2668,0.12038,1.85054,2.43625,2.38355,0.000856269,0.000856269,0.000856269
3,135.331,1.24438,1.85244,1.78426,0.38462,0.34831,0.2854,0.16667,1.66058,2.71769,2.06514,0.0011442,0.0011442,0.0011442
4,165.347,1.19906,1.65304,1.72602,0.58682,0.53361,0.50633,0.34807,1.35091,1.85686,1.74148,0.00100459,0.00100459,0.00100459
5,195.221,1.14033,1.52859,1.68158,0.5841,0.48447,0.5475,0.34857,1.39189,1.86727,1.75001,0.000863116,0.000863116,0.000863116
6,225.013,1.10034,1.39996,1.62524,0.67808,0.53282,0.57237,0.41125,1.1735,1.53015,1.54205,0.000721645,0.000721645,0.000721645
7,254.974,1.04109,1.31078,1.58045,0.70782,0.54414,0.60724,0.44313,1.14017,1.46303,1.50668,0.000580174,0.000580174,0.000580174
8,309.906,0.9925,1.21413,1.52852,0.73119,0.51927,0.62195,0.44915,1.10206,1.37484,1.47132,0.000438703,0.000438703,0.000438703
9,356.586,0.94435,1.12858,1.48124,0.68469,0.60035,0.65157,0.48427,1.06542,1.24882,1.45039,0.000297232,0.000297232,0.000297232
10,386.795,0.9084,1.06231,1.44199,0.79003,0.5795,0.691,0.53441,0.94515,1.14761,1.30905,0.000155761,0.000155761,0.000155761
