epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.4602,1.12077,2.00283,1.54957,0.40385,0.36021,0.31379,0.14791,1.8001,2.55888,2.18113,0.000475337,0.000475337,0.000475337
2,146.241,1.07784,1.50483,1.51918,0.4342,0.47732,0.43514,0.24153,1.50541,1.96873,1.83426,0.000763239,0.000763239,0.000763239
3,212.418,1.03924,1.34661,1.4892,0.62961,0.57873,0.62288,0.40522,1.28796,1.39781,1.66453,0.000862514,0.000862514,0.000862514
4,279.026,0.96261,1.20179,1.43273,0.68853,0.61255,0.64868,0.43866,1.10049,1.2524,1.46616,0.000580174,0.000580174,0.000580174
5,344.172,0.8962,1.06136,1.37791,0.66303,0.63688,0.68382,0.5006,1.05195,1.19775,1.42744,0.000297232,0.000297232,0.000297232
