epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.476,0.94871,1.05043,1.48877,0.61752,0.56838,0.60934,0.4095,1.26859,1.38749,1.66861,0.000475337,0.000475337,0.000475337
2,176.013,1.02828,1.15295,1.56657,0.59002,0.53236,0.57017,0.36789,1.40079,1.61735,1.74553,0.000857455,0.000857455,0.000857455
3,243.829,1.05533,1.1699,1.59593,0.62227,0.4377,0.52416,0.32572,1.46111,1.69662,1.75612,0.00114526,0.00114526,0.00114526
4,310.589,1.02499,1.12334,1.56875,0.64399,0.56625,0.62557,0.40441,1.28896,1.50025,1.60293,0.00100459,0.00100459,0.00100459
5,377.916,0.98039,1.03371,1.52297,0.76695,0.58434,0.67967,0.48243,1.11829,1.17318,1.47402,0.000863116,0.000863116,0.000863116
6,447.045,0.93139,0.94006,1.46865,0.73671,0.58243,0.66569,0.48641,1.04859,1.19797,1.42898,0.000721645,0.000721645,0.000721645
7,514.512,0.89744,0.8704,1.4394,0.70695,0.6585,0.7074,0.52228,1.02557,1.08109,1.39642,0.000580174,0.000580174,0.000580174
8,580.843,0.85374,0.79958,1.39424,0.79912,0.62513,0.71223,0.53213,0.98715,1.03014,1.34912,0.000438703,0.000438703,0.000438703
9,650.037,0.82413,0.73707,1.36402,0.78281,0.58257,0.69887,0.51819,1.02045,1.04811,1.37936,0.000297232,0.000297232,0.000297232
10,718.621,0.77987,0.67361,1.32195,0.78523,0.59685,0.69906,0.52805,1.01149,1.067,1.37607,0.000155761,0.000155761,0.000155761
