epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7374,1.16306,2.27136,1.57016,0.53298,0.40368,0.42266,0.26103,1.35393,2.19912,1.83135,0.000474021,0.000474021,0.000474021
2,96.5501,1.16648,1.78435,1.57447,0.43067,0.37618,0.3568,0.18964,1.59535,2.53293,2.01891,0.000887631,0.000887631,0.000887631
3,127.429,1.15653,1.66557,1.57843,0.46214,0.40632,0.36508,0.16143,1.82084,2.3744,2.46015,0.00123836,0.00123836,0.00123836
4,158.293,1.13516,1.55358,1.55675,0.54392,0.44043,0.42357,0.24127,1.69888,2.04822,2.32232,0.00114606,0.00114606,0.00114606
5,189.689,1.08829,1.46563,1.52437,0.66321,0.53245,0.58519,0.39985,1.2252,1.45196,1.61464,0.00105174,0.00105174,0.00105174
6,256.497,1.16702,1.50434,1.69682,0.48733,0.46825,0.42104,0.27453,1.37301,2.58245,1.73498,0.00095743,0.00095743,0.00095743
7,286.636,1.08868,1.37545,1.63602,0.70508,0.52764,0.57834,0.41934,1.20276,1.5575,1.61255,0.000863116,0.000863116,0.000863116
8,316.784,1.04355,1.2544,1.57703,0.69025,0.50165,0.60224,0.42041,1.18522,1.3938,1.52956,0.000768802,0.000768802,0.000768802
9,347.058,1.00829,1.19991,1.54378,0.69741,0.58874,0.62853,0.46548,1.07264,1.31274,1.45881,0.000674488,0.000674488,0.000674488
10,382.858,0.96527,1.13794,1.50361,0.73825,0.57988,0.6649,0.48609,1.07452,1.19416,1.45493,0.000580174,0.000580174,0.000580174
11,416.903,0.94812,1.08136,1.48814,0.65287,0.62813,0.65379,0.48556,1.01836,1.2128,1.39691,0.00048586,0.00048586,0.00048586
12,450.518,0.91551,1.03092,1.45803,0.79431,0.59541,0.7071,0.51632,1.04306,1.09429,1.41571,0.000391546,0.000391546,0.000391546
13,484.035,0.89179,0.98225,1.43494,0.75514,0.57524,0.70307,0.53031,0.97305,1.10055,1.34831,0.000297232,0.000297232,0.000297232
14,517.748,0.87091,0.93324,1.40687,0.72288,0.6603,0.7254,0.55115,0.96621,1.0537,1.33357,0.000202918,0.000202918,0.000202918
15,552.727,0.83315,0.88148,1.37418,0.80757,0.60693,0.72745,0.55282,0.9464,1.04184,1.31531,0.000108604,0.000108604,0.000108604
